"","x"
"CNT","Country code 3-character"
"SUBNATIO","Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
"STRATUM","Stratum ID 7-character (cnt + region ID + original stratum ID)"
"OECD","OECD country"
"NC","National Centre 6-digit Code"
"SCHOOLID","School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
"STIDSTD","Student ID"
"ST01Q01","International Grade"
"ST02Q01","National Study Programme"
"ST03Q01","Birth - Month"
"ST03Q02","Birth -Year"
"ST04Q01","Gender"
"ST05Q01","Attend <ISCED 0>"
"ST06Q01","Age at <ISCED 1>"
"ST07Q01","Repeat - <ISCED 1>"
"ST07Q02","Repeat - <ISCED 2>"
"ST07Q03","Repeat - <ISCED 3>"
"ST08Q01","Truancy - Late for School"
"ST09Q01","Truancy - Skip whole school day"
"ST115Q01","Truancy - Skip classes within school day"
"ST11Q01","At Home - Mother"
"ST11Q02","At Home - Father"
"ST11Q03","At Home - Brothers"
"ST11Q04","At Home - Sisters"
"ST11Q05","At Home - Grandparents"
"ST11Q06","At Home - Others"
"ST13Q01","Mother<Highest Schooling>"
"ST14Q01","Mother Qualifications - <ISCED level 6>"
"ST14Q02","Mother Qualifications - <ISCED level 5A>"
"ST14Q03","Mother Qualifications - <ISCED level 5B>"
"ST14Q04","Mother Qualifications - <ISCED level 4>"
"ST15Q01","Mother Current Job Status"
"ST17Q01","Father<Highest Schooling>"
"ST18Q01","Father Qualifications - <ISCED level 6>"
"ST18Q02","Father Qualifications - <ISCED level 5A>"
"ST18Q03","Father Qualifications - <ISCED level 5B>"
"ST18Q04","Father Qualifications - <ISCED level 4>"
"ST19Q01","Father Current Job Status"
"ST20Q01","Country of Birth International - Self"
"ST20Q02","Country of Birth International - Mother"
"ST20Q03","Country of Birth International - Father"
"ST21Q01","Age of arrival in <country of test>"
"ST25Q01","International Language at Home"
"ST26Q01","Possessions - desk"
"ST26Q02","Possessions - own room"
"ST26Q03","Possessions - study place"
"ST26Q04","Possessions - computer"
"ST26Q05","Possessions - software"
"ST26Q06","Possessions - Internet"
