id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
1,9987,673,KRC Genk,GEN
2,9993,675,Beerschot AC,BAC
3,10000,15005,SV Zulte-Waregem,ZUL
4,9994,2007,Sporting Lokeren,LOK
5,9984,1750,KSV Cercle Brugge,CEB
6,8635,229,RSC Anderlecht,AND
7,9991,674,KAA Gent,GEN
8,9998,1747,RAEC Mons,MON
9,7947,,FCV Dender EH,DEN
10,9985,232,Standard de Liège,STL
11,8203,110724,KV Mechelen,MEC
12,8342,231,Club Brugge KV,CLB
13,9999,546,KSV Roeselare,ROS
14,8571,100081,KV Kortrijk,KOR
15,4049,,Tubize,TUB
16,9996,111560,Royal Excel Mouscron,MOU
17,10001,681,KVC Westerlo,WES
18,9986,670,Sporting Charleroi,CHA
614,9997,680,Sint-Truidense VV,STT
1034,9989,239,Lierse SK,LIE
1042,6351,2013,KAS Eupen,EUP
1513,1773,100087,Oud-Heverlee Leuven,O-H
2004,8475,110913,Waasland-Beveren,WAA
2476,8573,682,KV Oostende,OOS
2510,274581,111560,Royal Excel Mouscron,MOP
3457,10260,11,Manchester United,MUN
3458,10261,13,Newcastle United,NEW
3459,9825,1,Arsenal,ARS
3460,8659,109,West Bromwich Albion,WBA
3461,8472,106,Sunderland,SUN
3462,8650,9,Liverpool,LIV
3463,8654,19,West Ham United,WHU
3464,8528,1917,Wigan Athletic,WIG
3465,10252,2,Aston Villa,AVL
3466,8456,10,Manchester City,MCI
3467,8668,7,Everton,EVE
3468,8655,3,Blackburn Rovers,BLB
3469,8549,12,Middlesbrough,MID
3470,8586,18,Tottenham Hotspur,TOT
3471,8559,4,Bolton Wanderers,BOL
3472,10194,1806,Stoke City,STK
3473,8667,1952,Hull City,HUL
3474,9879,144,Fulham,FUL
3475,8455,5,Chelsea,CHE
3476,8462,1790,Portsmouth,POR
4218,8658,88,Birmingham City,BIR
4225,8602,110,Wolverhampton Wanderers,WOL
4234,8191,1796,Burnley,BUR
4996,8483,1926,Blackpool,BLA
5744,10003,1960,Swansea City,SWA
5747,10172,15,Queens Park Rangers,QPR
5756,9850,1792,Norwich City,NOR
6504,8466,17,Southampton,SOU
6509,9798,1793,Reading,REA
7261,9826,1799,Crystal Palace,CRY
7276,8344,1961,Cardiff City,CAR
8021,8197,95,Leicester City,LEI
8779,8678,1943,Bournemouth,BOU
8784,9817,1795,Watford,WAT
9537,8583,57,AJ Auxerre,AUX
9538,9830,71,FC Nantes,NAN
9539,9827,59,Girondins de Bordeaux,BOR
9540,7819,210,SM Caen,CAE
9541,9746,1738,Le Havre AC,LEH
9542,9831,72,OGC Nice,NIC
9543,8682,1739,Le Mans FC,LEM
9544,8689,217,FC Lorient,LOR
9545,9748,66,Olympique Lyonnais,LYO
9546,9941,1809,Toulouse FC,TOU
9547,9829,69,AS Monaco,MON
9548,9847,73,Paris Saint-Germain,PSG
9549,8481,1823,AS Nancy-Lorraine,NAN
9550,8639,65,LOSC Lille,LIL
9551,9851,74,Stade Rennais FC,REN
9552,8592,219,Olympique de Marseille,MAR
9553,9874,226,FC Sochaux-Montbéliard,SOC
9554,9855,1805,Grenoble Foot 38,GRE
9555,9873,110456,Valenciennes FC,VAL
9556,9853,1819,AS Saint-Étienne,ETI
10300,8588,64,RC Lens,LEN
10309,10249,70,Montpellier Hérault SC,MON
10312,4170,111376,US Boulogne Cote D'Opale,BOU
11074,108893,111989,AC Arles-Avignon,ARL
11076,8521,378,Stade Brestois 29,BRE
11817,8576,614,AC Ajaccio,AJA
11822,4087,111271,Évian Thonon Gaillard FC,ETG
11825,9836,110569,Dijon FCO,DIJ
12587,9837,379,Stade de Reims,REI
12594,7794,58,SC Bastia,BAS
12595,10242,294,ES Troyes AC,TRO
13343,9747,62,En Avant de Guingamp,GUI
14106,8550,68,FC Metz,MET
14868,8121,1530,Angers SCO,ANG
14876,6391,110316,GFC Ajaccio,GAJ
15617,9823,21,FC Bayern Munich,BMU
15618,9790,28,Hamburger SV,HAM
15619,8178,32,Bayer 04 Leverkusen,LEV
15620,9789,22,Borussia Dortmund,DOR
15621,10189,34,FC Schalke 04,S04
15622,9904,485,Hannover 96,HAN
15623,8721,175,VfL Wolfsburg,WOL
15624,8722,31,1. FC Köln,FCK
15625,9810,1824,Eintracht Frankfurt,EFR
15626,8177,166,Hertha BSC Berlin,HBE
15627,9912,159,DSC Arminia Bielefeld,BIE
15628,8697,38,SV Werder Bremen,WBR
15629,8398,162,FC Energie Cottbus,COT
15630,8226,10029,TSG 1899 Hoffenheim,HOF
15631,9788,23,Borussia Mönchengladbach,GLA
15632,10269,36,VfB Stuttgart,STU
15633,8295,1832,Karlsruher SC,KAR
15634,9911,160,VfL Bochum,BOC
16237,8358,25,SC Freiburg,FRE
16239,8165,171,1. FC Nürnberg,NUR
16243,9905,169,1. FSV Mainz 05,MAI
16848,8350,29,1. FC Kaiserslautern,KAI
16850,8152,110329,FC St. Pauli,STP
17465,8406,100409,FC Augsburg,AUG
18074,8194,110636,Fortuna Düsseldorf,FDU
18079,8357,165,SpVgg Greuther Fürth,GRF
18691,9776,110500,Eintracht Braunschweig,BRA
19305,8460,10030,SC Paderborn 07,PAD
19916,8234,111239,FC Ingolstadt 04,ING
19917,8262,110502,SV Darmstadt 98,DAR
20513,8524,39,Atalanta,ATA
20514,8551,1838,Siena,SIE
20515,8529,1842,Cagliari,CAG
20516,8543,46,Lazio,LAZ
20517,8530,110364,Catania,CAT
20518,10233,110556,Genoa,GEN
20519,8533,192,Chievo Verona,CHI
20520,8690,203,Reggio Calabria,REG
20521,8535,110374,Fiorentina,FIO
20522,9885,45,Juventus,JUV
20523,8564,47,Milan,ACM
20524,9857,189,Bologna,BOL
