Variable,Description
ListingKey,"Unique key for each listing, same value as the 'key' used in the listing object in the API."
ListingNumber,The number that uniquely identifies the listing to the public as displayed on the website.
ListingCreationDate,The date the listing was created.
CreditGrade,The Credit rating that was assigned at the time the listing went live. Applicable for listings pre-2009 period and will only be populated for those listings.
Term,The length of the loan expressed in months.
LoanStatus,"The current status of the loan: Cancelled,  Chargedoff, Completed, Current, Defaulted, FinalPaymentInProgress, PastDue. The PastDue status will be accompanied by a delinquency bucket."
ClosedDate,"Closed date is applicable for Cancelled, Completed, Chargedoff and Defaulted loan statuses. "
BorrowerAPR,The Borrower's Annual Percentage Rate (APR) for the loan.
BorrowerRate,The Borrower's interest rate for this loan. 
LenderYield,The Lender yield on the loan. Lender yield is equal to the interest rate on the loan less the servicing fee.
EstimatedEffectiveYield,"Effective yield is equal to the borrower interest rate (i) minus the servicing fee rate, (ii) minus estimated uncollected interest on charge-offs, (iii) plus estimated collected late fees.  Applicable for loans originated after July 2009."
EstimatedLoss,Estimated loss is the estimated principal loss on charge-offs. Applicable for loans originated after July 2009.
EstimatedReturn,The estimated return assigned to the listing at the time it was created. Estimated return is the difference between the Estimated Effective Yield and the Estimated Loss Rate. Applicable for loans originated after July 2009.
ProsperRating (numeric),"The  Prosper Rating assigned at the time the listing was created: 0 - N/A, 1 - HR, 2 - E, 3 - D, 4 - C, 5 - B, 6 - A, 7 - AA.  Applicable for loans originated after July 2009."
ProsperRating (Alpha),The Prosper Rating assigned at the time the listing was created between AA - HR.  Applicable for loans originated after July 2009.
ProsperScore,"A custom risk score built using historical Prosper data. The score ranges from 1-10, with 10 being the best, or lowest risk score.  Applicable for loans originated after July 2009."
ListingCategory,"The category of the listing that the borrower selected when posting their listing: 0 - Not Available, 1 - Debt Consolidation, 2 - Home Improvement, 3 - Business, 4 - Personal Loan, 5 - Student Use, 6 - Auto, 7- Other, 8 - Baby&Adoption, 9 - Boat, 10 - Cosmetic Procedure, 11 - Engagement Ring, 12 - Green Loans, 13 - Household Expenses, 14 - Large Purchases, 15 - Medical/Dental, 16 - Motorcycle, 17 - RV, 18 - Taxes, 19 - Vacation, 20 - Wedding Loans"
BorrowerState,The two letter abbreviation of the state of the address of the borrower at the time the Listing was created.
Occupation,The Occupation selected by the Borrower at the time they created the listing.
EmploymentStatus,The employment status of the borrower at the time they posted the listing.
EmploymentStatusDuration,The length in months of the employment status at the time the listing was created.
IsBorrowerHomeowner,A Borrower will be classified as a homowner if they have a mortgage on their credit profile or provide documentation confirming they are a homeowner.
CurrentlyInGroup,Specifies whether or not the Borrower was in a group at the time the listing was created.
GroupKey,The Key of the group in which the Borrower is a member of. Value will be null if the borrower does not have a group affiliation.
DateCreditPulled,The date the credit profile was pulled. 
CreditScoreRangeLower,The lower value representing the range of the borrower's credit score as provided by a consumer credit rating agency.
CreditScoreRangeUpper,The upper value representing the range of the borrower's credit score as provided by a consumer credit rating agency. 
FirstRecordedCreditLine,The date the first credit line was opened.
CurrentCreditLines,Number of current credit lines at the time the credit profile was pulled.
OpenCreditLines,Number of open credit lines at the time the credit profile was pulled.
TotalCreditLinespast7years,Number of credit lines in the past seven years at the time the credit profile was pulled.
OpenRevolvingAccounts,Number of open revolving accounts at the time the credit profile was pulled.
OpenRevolvingMonthlyPayment,Monthly payment on revolving accounts at the time the credit profile was pulled.
InquiriesLast6Months,Number of inquiries in the past six months at the time the credit profile was pulled.
TotalInquiries,Total number of inquiries at the time the credit profile was pulled.
CurrentDelinquencies,Number of accounts delinquent at the time the credit profile was pulled.
AmountDelinquent,Dollars delinquent at the time the credit profile was pulled.
DelinquenciesLast7Years,Number of delinquencies in the past 7 years at the time the credit profile was pulled.
PublicRecordsLast10Years,Number of public records in the past 10 years at the time the credit profile was pulled.
PublicRecordsLast12Months,Number of public records in the past 12 months at the time the credit profile was pulled.
